News #|Total time Spent (s)|# of Trials|# of Characters|Similarity to real article
1|4.481403827667236|1|1031|0.9752475247524752
2|3.709351062774658|1|486|0.8029556650246306
3|4.77264928817749|1|1746|0.47244094488188976
4|12.468433380126953|1|9286|0.014060356652949246
5|5.872989177703857|1|1856|0.9902597402597403
6|9.042690753936768|1|2019|0.9059180576631259
7|9.034166097640991|1|2554|0.9012076816471986
8|45.96545219421387|2|2136|0.3687580025608195
9|5.109842777252197|1|1861|0.9562552242964614
10|8.608865737915039|1|2285|0.23477493380406
11|10.098658561706543|1|1944|0.9629629629629629
12|18.13828945159912|1|4180|0.9931989022789643
13|4.9840686321258545|1|1849|0.9753018660812294
